Robot_Position X	Robot_Position Y	weight
654	557	0.067976
652	557	0.063736
649	557	0.264881
647	559	0.257368
647	557	0.263939
647	557	0.264917
647	557	0.272270
647	557	0.271937
647	560	0.261546
647	557	0.255882
647	557	0.259772
648	559	0.281890
648	559	0.271675
647	557	0.273096
647	557	0.251791
647	557	0.058315
647	557	0.262263
647	557	0.287851
647	557	0.272247
647	557	0.255272
647	557	0.267819
647	557	0.237482
647	557	0.272140
647	557	0.286583
647	557	0.252746
647	557	0.261773
647	557	0.271890
647	557	0.297266
647	557	0.276078
647	557	0.069044
647	557	0.249351
647	557	0.258435
647	557	0.275719
647	557	0.278592
649	554	0.058501
647	557	0.264194
647	557	0.271347
647	557	0.247988
647	557	0.261053
647	557	0.263268
647	557	0.265425
647	557	0.258452
647	557	0.246009
647	557	0.260642
647	557	0.238834
647	557	0.248244
647	557	0.252653
647	557	0.074559
648	556	0.243438
648	559	nan
648	557	nan
647	557	0.264410
647	557	0.263219
647	557	0.242503
647	557	0.267457
647	557	0.251651
647	557	0.270217
647	557	0.261835
647	557	0.255538
647	557	0.059082
648	556	0.276359
648	556	0.284046
648	556	0.235078
648	556	0.257458
648	556	0.272464
648	556	0.243834
648	556	0.245795
648	556	0.260011
648	556	0.255842
648	556	0.254468
648	556	0.243646
647	554	0.276287
648	556	0.225587
647	557	0.246981
647	557	0.264314
647	557	0.256005
647	557	0.057895
647	557	0.246624
647	557	0.249147
647	557	0.242609
647	557	0.264575
647	557	0.286046
649	557	0.254824
647	557	0.249014
647	557	0.247243
647	557	0.260853
647	557	0.264864
647	557	0.249632
647	557	0.261458
647	557	0.260642
647	557	0.258584
647	557	0.248351
647	557	0.271410
647	556	0.274531
647	556	0.235174
647	557	nan
647	557	0.061653
647	557	0.061653
647	557	0.273876
647	557	0.054525
647	557	0.257561
647	557	0.248266
647	557	0.250557
647	557	0.253989
647	557	0.264424
648	554	0.252686
647	557	0.058172
647	557	0.234402
647	557	0.251146
647	557	0.252175
647	557	0.250030
647	557	0.265408
647	557	0.238235
647	557	0.253387
647	557	0.251525
647	557	0.257912
647	557	0.245307
647	558	0.247966
650	560	0.273335
648	561	0.245579
650	560	0.231084
647	562	0.259543
647	562	0.239770
647	562	0.242881
647	562	0.210665
647	562	0.036246
647	562	0.240255
645	565	0.265028
643	564	0.265069
642	565	0.047012
643	564	0.046652
644	565	0.236005
642	567	0.241441
647	560	nan
647	560	nan
647	560	0.224298
647	560	0.223440
647	562	0.242526
647	562	0.236601
644	562	nan
643	563	0.234676
647	562	nan
647	557	0.241307
647	557	0.261992
647	557	0.245588
647	557	0.245588
647	557	0.253340
647	557	0.264343
647	557	0.266848
647	557	0.266342
647	557	0.243196
645	556	0.257635
644	560	0.236456
647	557	0.226838
642	554	0.229834
647	557	nan
647	557	0.260316
647	557	nan
647	557	0.242308
646	559	0.242493
647	557	nan
647	557	nan
647	557	0.237634
647	557	0.244365
647	557	0.251704
647	557	0.055573
646	557	0.055588
646	557	0.053663
644	557	0.062344
646	557	0.062344
645	557	0.062344
644	557	0.065603
644	557	0.264119
644	557	0.267606
644	557	0.278051
644	557	0.271462
644	557	0.299457
644	557	0.281789
640	557	0.082227
642	561	0.294418
640	562	0.275318
640	562	0.076175
640	562	0.262409
639	559	0.078985
639	559	0.304888
639	559	0.298010
639	559	0.298010
639	559	0.328601
639	559	0.279792
639	559	0.273913
639	559	0.287074
637	556	0.313954
638	558	0.297279
637	555	0.304574
636	557	0.296315
635	560	0.297845
635	560	0.297845
635	560	0.269093
635	560	0.277345
635	560	0.276985
635	560	0.287483
635	560	0.282936
635	560	0.270972
633	559	0.297186
632	560	0.280556
635	559	0.291771
635	559	nan
635	560	0.277974
647	557	nan
647	557	0.277126
644	556	0.269884
645	556	0.069228
645	556	0.287333
644	553	0.270783
644	556	0.252455
644	554	0.252455
644	555	0.252455
644	556	0.262159
644	556	0.259330
644	556	0.255899
643	557	0.246996
644	556	0.247066
644	556	0.042954
647	557	-nan
644	554	-nan
644	553	0.265433
644	553	0.245166
644	553	0.245166
644	553	0.239958
644	553	0.241523
647	551	0.256128
647	551	0.250484
649	552	0.230806
643	551	0.267461
647	557	0.235079
647	557	nan
647	557	0.244798
647	557	0.234383
647	557	0.234132
645	559	0.232726
642	553	0.242113
647	554	0.053568
652	552	0.261986
652	552	0.052673
652	552	0.263033
652	552	0.248766
652	552	0.237315
652	552	0.248523
652	552	0.278025
652	552	0.278025
652	552	0.258126
652	552	0.252500
652	552	0.245810
652	552	0.052776
652	552	0.052776
652	552	0.254584
652	552	0.259947
652	552	0.257533
652	552	0.257533
652	552	0.259178
649	552	0.249455
650	552	0.255336
649	552	0.248663
647	552	0.253621
647	552	0.268269
647	552	0.262572
647	552	0.241853
647	552	0.244637
647	552	0.053465
